Customer ID,Age,Gender,Education,Review,Purchased
1021,30,Female,School,Average,No
1022,68,Female,UG,Poor,No
1023,70,Female,PG,Good,No
1024,72,Female,PG,Good,No
1025,16,Female,UG,Average,No
1026,31,Female,School,Average,Yes
1027,18,Male,School,Good,No
1028,60,Female,School,Poor,Yes
1029,65,Female,UG,Average,No
1030,74,Male,UG,Good,Yes
1031,98,Female,UG,Good,Yes
1032,74,Male,UG,Good,Yes
1033,51,Male,School,Poor,No
1034,57,Female,School,Average,No
1035,15,Male,PG,Poor,Yes
1036,75,Male,UG,Poor,No
1037,59,Male,UG,Poor,Yes
1038,22,Female,UG,Poor,Yes
1039,19,Male,School,Good,No
1040,97,Male,PG,Poor,Yes
1041,57,Female,School,Average,Yes
1042,32,Male,PG,Average,No
1043,18,Female,PG,Poor,Yes
1044,96,Female,School,Good,No
1045,16,Female,PG,Average,Yes
1046,57,Female,School,Good,No
1047,53,Female,PG,Poor,No
1048,69,Female,PG,Poor,No
1049,48,Male,School,Poor,No
1050,83,Female,UG,Average,Yes
1051,73,Male,UG,Average,No
1052,22,Female,School,Poor,Yes
1053,92,Male,UG,Average,Yes
1054,89,Female,PG,Good,Yes
1055,86,Male,School,Average,No
1056,74,Male,School,Poor,Yes
1057,34,Female,UG,Good,Yes
1058,94,Male,PG,Average,Yes
1059,45,Female,School,Good,No
1060,76,Male,PG,Poor,No
1061,39,Male,School,Good,No
1062,23,Male,PG,Good,Yes
1063,30,Female,PG,Good,Yes
1064,27,Male,PG,Poor,No
1065,77,Female,UG,Average,No
1066,61,Male,PG,Poor,Yes
1067,64,Female,PG,Poor,No
1068,38,Female,PG,Good,Yes
1069,39,Female,UG,Good,Yes
1070,25,Female,UG,Good,No
