Income,Age,Loan,Loan to Income,Default
66155.9251,59.01701507,8106.532131,0.122536751,0
34415.15397,48.1171531,6564.745018,0.190751581,0
57317.17006,63.10804949,8020.953296,0.1399398,0
42709.5342,45.75197235,6103.64226,0.142910532,0
66952.68885,18.58433593,8770.099235,0.1309895,1
24904.06414,57.4716071,15.49859844,0.000622332,0
48430.35961,26.80913242,5722.581981,0.118161047,0
24500.14198,32.89754832,2971.00331,0.121264738,1
40654.89254,55.49685254,4755.82528,0.116980392,0
25075.87277,39.77637806,1409.230371,0.056198657,0
64131.41537,25.67957535,4351.028971,0.067845516,0
59436.84712,60.47193585,9254.244538,0.155698779,0
61050.34608,26.35504385,5893.264659,0.096531224,0
27267.99546,61.57677582,4759.787581,0.17455583,0
63061.96017,39.20155289,1850.369377,0.029342085,0
50501.72669,28.21836132,3977.287432,0.078755474,0
43548.65471,39.57453035,3935.544453,0.090371206,0
43378.17519,60.84831794,3277.737553,0.075561905,0
20542.36507,61.69057071,3157.44229,0.153703932,0
58887.35755,26.07609302,4965.516066,0.084322277,0
23000.784,31.76135417,1148.118057,0.049916475,0
32197.6207,52.42327992,4244.057136,0.131812756,0
23329.31941,48.57697453,222.6222987,0.009542597,0
27845.80089,51.9706241,4959.921226,0.178120976,0
65301.98403,48.84092177,5465.267886,0.083692218,0
47451.63012,27.03174131,5361.282716,0.112984163,0
63287.03891,36.49697551,9595.286289,0.151615346,0
45727.45987,55.83992185,6376.822949,0.139452814,0
59417.80541,30.8582675,2082.625938,0.035050536,0
58842.89131,54.51094756,10871.18679,0.184749365,0
48528.8528,43.78380863,6155.78467,0.126847933,0
23526.30256,52.67101229,2862.010139,0.121651506,0
67252.90061,38.13190746,4221.303157,0.0627676,0
58886.85129,38.66150424,7271.552032,0.123483458,0
57584.97379,36.67202092,1728.423755,0.030015187,0
26289.97231,20.66677873,341.146966,0.012976315,0
25952.38147,58.1850173,2109.200772,0.081271955,0
32464.09188,50.22500592,4326.705073,0.13327664,0
60921.0631,18.84052576,968.8363827,0.015903143,0
26578.53669,32.67604425,3489.843136,0.131303058,1
66260.12156,32.89669307,7035.589107,0.106181349,0
58787.45524,62.64130285,4167.786724,0.070895852,0
62545.70871,49.04043324,4362.905812,0.069755478,0
24381.95345,25.25233071,4227.018986,0.173366707,1
67852.10587,47.32189906,5730.588251,0.084457043,0
41725.61286,18.13003836,1185.2147,0.028404968,0
41896.9716,47.25073103,4892.209734,0.116767622,0
44379.72965,50.08867129,1814.335082,0.040882067,0
28416.89938,57.9287193,1788.973736,0.062954572,0
68427.16311,46.30824019,1658.070233,0.02423117,0
35975.79493,35.70865177,6610.366179,0.183744826,0
57596.3541,29.2460566,3344.384401,0.058065905,0
29681.88309,54.95928719,1745.871674,0.058819438,0
51656.93867,47.7150637,7158.13906,0.138570718,0
24912.84268,49.3663712,267.6962986,0.010745313,0
47761.82407,50.09815907,5549.799128,0.116197386,0
22248.1792,23.44362417,4364.975281,0.19619472,1
29724.47688,31.9685264,3075.345728,0.103461728,0
52143.82367,20.83763392,2393.099679,0.045894212,0
56577.72286,36.84780068,5947.421721,0.105119496,0
37660.77072,53.74506047,2129.597165,0.056546829,0
37403.7954,47.9441217,2044.047045,0.054648119,0
31652.69373,62.02380247,5151.070445,0.16273719,0
32727.70073,34.47487101,1087.919364,0.033241546,0
69078.60481,25.10752405,4076.583914,0.059013698,0
40622.19487,41.52718879,4949.902333,0.121852164,0
37521.01717,60.54107743,8.012076247,0.000213536,0
30735.8085,22.24209774,5946.822297,0.193481889,1
24857.69488,21.59867635,2692.163459,0.108303021,0
33180.20159,49.56597728,4621.997742,0.139299869,0
66628.26009,52.38387344,5992.885092,0.089945094,0
38564.93213,21.21649167,5604.16999,0.145317771,1
33704.5085,33.18310623,5898.000893,0.174991452,1
57018.48483,44.82571531,3507.252166,0.061510792,0
40526.90279,28.60637596,2119.984911,0.052310558,0
50827.98052,51.01293719,1765.983337,0.034744314,0
40775.8116,60.28875683,1922.610022,0.047150748,0
55467.15141,56.85133096,9226.902041,0.166348944,0
38789.02939,61.22928543,7650.65521,0.197237604,0
58074.84013,50.07492427,7388.02444,0.127215579,0
57814.10634,43.8309231,7252.120004,0.12543859,0
45190.72918,53.83952,7893.559889,0.174672107,0
36801.90718,43.02794342,5406.344926,0.146903934,0
68811.77942,24.03826535,4211.302611,0.061200316,0
30483.29553,33.65644124,4514.00978,0.148081423,1
44930.39417,19.77738585,7708.315625,0.171561273,1
43671.45655,25.58503698,8066.697865,0.184713277,1
27612.9148,19.21244819,1513.6242,0.054815807,0
53607.32693,27.5617124,2378.766173,0.0443739,0
33036.68312,25.06336742,958.9798221,0.029027727,0
64275.83489,61.440913,7520.032053,0.116996256,0
30673.8375,59.33383708,383.1075694,0.012489718,0
58793.61431,56.49441041,4391.981054,0.074701668,0
21053.49062,63.37940765,754.6018821,0.035842127,0
42095.4222,55.36618805,1183.704568,0.028119556,0
50360.67879,28.83954247,4217.166823,0.083739277,0
41970.72448,63.16991394,1622.317392,0.038653548,0
51663.41018,63.73571024,4147.888585,0.080286775,0
53601.81244,20.24062127,9601.375482,0.179124083,1
43439.98873,24.17947032,6879.306007,0.158363439,1
